,,0,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,
NAME_v1,0,i,t,,i,s,,a,,,,,,,,,,,,,,,,,
n_row = 16,1,q,u,a,r,t,e,r,,,,,,,,,,,,,,,,,
n_col = 8,2,t,w,e,n,t,y,-,,,,,,,,,,,,,,,,,
,3,t,e,n,,f,i,v,e,,,,,,,,,,,,,,,,
,4,,,h,a,l,f,,,,,,,,,,,,,,,,,,
,5,,p,a,s,t,t,o,,,,,,,,,,,,,,,,,
,6,o,n,e,,t,w,o,,,,,,,,,,,,,,,,,
,7,,,t,h,r,e,e,,,,,,,,,,,,,,,,,
,8,f,o,u,r,f,i,v,e,,,,,,,,,,,,,,,,
,9,s,i,x,s,e,v,e,n,,,,,,,,,,,,,,,,
,10,,,e,i,g,h,t,,,,,,,,,,,,,,,,,
,11,n,i,n,e,,t,e,n,,,,,,,,,,,,,,,,
,12,,e,l,e,v,e,n,,,,,,,,,,,,,,,,,
,13,,t,w,e,l,v,e,,,,,,,,,,,,,,,,,
,14,,,b,e,e,r,,,,,,,,,,,,,,,,,,
,15,,o',c,l,o,c,k,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
author,David Pincus,,,,,,,,,,,,,,,,,,,,,,,,
email,david@wyolum.com,,,,,,,,,,,,,,,,,,,,,,,,
licence,http://creativecommons.org/licenses/by/3.0/,,,,,,,,,,,,,,,,,,,,,,,,
description,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
n_hour_word=25,it,is,a,quarter,twenty,-,ten,five,half,past,to,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,beer,o'clock
StartRow,0,0,0,1,2,2,3,3,4,5,5,6,6,7,8,8,9,9,10,11,11,12,13,14,15
StartCol,0,3,6,0,0,6,0,4,2,1,5,0,4,2,0,4,0,3,2,0,5,1,1,2,1
length,2,2,1,7,6,1,3,4,4,4,2,3,3,5,4,4,3,5,5,4,3,6,6,4,6
English translation,it,is,a,quarter,twenty,-,ten,five,half,past,to,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,beer,o'clock
0:00:00,it,is,,,,,,,,,,,,,,,,,,,,,twelve,,o'clock
0:05:00,it,is,,,,,,five,,past,,,,,,,,,,,,,twelve,,
0:10:00,it,is,,,,,ten,,,past,,,,,,,,,,,,,twelve,,
0:15:00,it,is,a,quarter,,,,,,past,,,,,,,,,,,,,twelve,,
0:20:00,it,is,,,twenty,,,,,past,,,,,,,,,,,,,twelve,,
0:25:00,it,is,,,twenty,-,,five,,past,,,,,,,,,,,,,twelve,,
0:30:00,it,is,,,,,,,half,past,,,,,,,,,,,,,twelve,,
0:35:00,it,is,,,twenty,-,,five,,,to,one,,,,,,,,,,,,,
0:40:00,it,is,,,twenty,,,,,,to,one,,,,,,,,,,,,,
0:45:00,it,is,a,quarter,,,,,,,to,one,,,,,,,,,,,,,
0:50:00,it,is,,,,,ten,,,,to,one,,,,,,,,,,,,,
0:55:00,it,is,,,,,,five,,,to,one,,,,,,,,,,,,,
1:00:00,it,is,,,,,,,,,,one,,,,,,,,,,,,,o'clock
1:05:00,it,is,,,,,,five,,past,,one,,,,,,,,,,,,,
1:10:00,it,is,,,,,ten,,,past,,one,,,,,,,,,,,,,
1:15:00,it,is,a,quarter,,,,,,past,,one,,,,,,,,,,,,,
