,,0,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,
NAME_v1,0,i,t,x,i,s,z,a,q,,,,,,,,,,,,,,,,,,
n_row = 16,1,q,u,a,r,t,e,r,l,,,,,,,,,,,,,,,,,,
n_col = 8,2,t,w,e,n,t,y,-,v,,,,,,,,,,,,,,,,,,
,3,t,e,n,s,f,i,v,e,,,,,,,,,,,,,,,,,,
,4,h,a,l,f,p,a,s,t,,,,,,,,,,,,,,,,,,
,5,t,o,x,t,w,o,n,e,,,,,,,,,,,,,,,,,,
,6,t,h,r,e,e,s,i,x,,,,,,,,,,,,,,,,,,
,7,f,o,u,r,f,i,v,e,,,,,,,,,,,,,,,,,,
,8,s,e,v,e,n,t,e,n,,,,,,,,,,,,,,,,,,
,9,e,i,g,h,t,v,e,n,,,,,,,,,,,,,,,,,,
,10,n,i,n,e,b,e,e,r,,,,,,,,,,,,,,,,,,
,11,e,l,e,v,e,n,t,h,,,,,,,,,,,,,,,,,,
,12,s,t,w,e,l,v,e,y,,,,,,,,,,,,,,,,,,
,13,o',c,l,o,c,k,n,s,,,,,,,,,,,,,,,,,,
,14,a,n,t,e,p,o,s,t,,,,,,,,,,,,,,,,,,
,15,m,e,r,i,d,i,e,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
author,nick stock,,,,,,,,,,,,,,,,,,,,,,,,,,
email,nick@wyolum.com,,,,,,,,,,,,,,,,,,,,,,,,,,
licence,http://creativecommons.org/licenses/by/3.0/,,,,,,,,,,,,,,,,,,,,,,,,,,
description,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_hour_word=27,it,is,a,quarter,twenty,-,ten,five,half,past,to,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,o'clock,ante,post,meridiem
StartRow,0,0,0,1,2,2,3,3,4,4,5,5,5,6,7,7,6,8,9,10,8,11,12,13,14,14,15
