,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,StartRow,0,0,2,0,1,1,2,0,3,3,3,3,4,5,5,4,5,3,5,4,4,6,6,6,7
English v0,0,K,I,T,R,I,S,C,T,E,N,H,A,L,F,X,.,,,StartCol,1,4,1,7,0,7,1,10,0,3,8,6,0,0,4,10,8,10,12,13,4,0,7,14,0
n_row = 8,1,Q,U,A,R,T,E,R,T,W,E,N,T,Y,B,Z,:,,,length,2,2,4,3,7,6,4,4,4,2,3,3,5,4,4,3,5,5,4,3,6,6,6,2,2
n_col = 16,2,I,F,I,V,E,C,M,I,N,U,T,E,S,A,L,.,,,WORDS,it,is,five,ten,quarter,twenty,five,half,past,to,one,two,three,four,five ,six,seven,eight,nine,ten,eleven,twelve,oclock,am,pm
,3,P,A,S,T,O,B,T,W,O,N,E,I,G,H,T,S,,,English translation,it,is,five,ten,quarter,twenty,five,half,past,to,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,oclock,am,pm
,4,T,H,R,E,E,L,E,V,E,N,S,I,X,T,E,N,,,0:00:00,it,is,,,,,,,past,,,,,,,,,,,,,twelve,o'clock,am,
,5,F,O,U,R,F,I,V,E,S,E,V,E,N,I,N,E,,,0:05:00,it,is,five,,,,,,past,,,,,,,,,,,,,twelve,,am,
,6,T,W,E,L,V,E,X,O,C,L,O,C,K,Y,A,M,,,0:10:00,it,is,,ten,,,,,past,,,,,,,,,,,,,twelve,,am,
,7,P,M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,0:15:00,it,is,,,quarter,,,,past,,,,,,,,,,,,,twelve,,am,
,,,,,,,,,,,,,,,,,,,,0:20:00,it,is,,,,twenty,,,past,,,,,,,,,,,,,twelve,,am,
,,,,,,,,,,,,,,,,,,,,0:25:00,it,is,,,,twenty,five,,past,,,,,,,,,,,,,twelve,,am,
,,,,,,,,,,,,,,,,,,,,0:30:00,it,is,,,,,,half,past,,,,,,,,,,,,,twelve,,am,
,,,,,,,,,,,,,,,,,,,,0:35:00,it,is,,,,twenty,five,,,to,one,,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,0:40:00,it,is,,,,twenty,,,,to,one,,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,0:45:00,it,is,,,quarter,,,,,to,one,,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,0:50:00,it,is,,ten,,,,,,to,one,,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,0:55:00,it,is,five,,,,,,,to,one,,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,1:00:00,it,is,,,,,,,,,one,,,,,,,,,,,,o'clock,am,
,,,,,,,,,,,,,,,,,,,,1:05:00,it,is,five,,,,,,past,,one,,,,,,,,,,,,,am,
author,FlorinC,,,,,,,,,,,,,,,,,,,1:10:00,it,is,,ten,,,,,past,,one,,,,,,,,,,,,,am,
email,,,,,,,,,,,,,,,,,,,,1:15:00,it,is,,,quarter,,,,past,,one,,,,,,,,,,,,,am,
licence,CC BY SA,,,,,,,,,,,,,,,,,,,1:20:00,it,is,,,,twenty,,,past,,one,,,,,,,,,,,,,am,
description,Faceplate from C3jr v1 English,,,,,,,,,,,,,,,,,,,1:25:00,it,is,,,,twenty,five,,past,,one,,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,1:30:00,it,is,,,,,,half,past,,one,,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,1:35:00,it,is,,,,twenty,five,,,to,,two,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,1:40:00,it,is,,,,twenty,,,,to,,two,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,1:45:00,it,is,,,quarter,,,,,to,,two,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,1:50:00,it,is,,ten,,,,,,to,,two,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,1:55:00,it,is,five,,,,,,,,,two,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,2:00:00,it,is,,,,,,,,,,two,,,,,,,,,,,o'clock,am,
,,,,,,,,,,,,,,,,,,,,2:05:00,it,is,five,,,,,,past,,,two,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,2:10:00,it,is,,ten,,,,,past,,,two,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,2:15:00,it,is,,,quarter,,,,past,,,two,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,2:20:00,it,is,,,,twenty,,,past,,,two,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,2:25:00,it,is,,,,twenty,five,,past,,,two,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,2:30:00,it,is,,,,,,half,past,,,two,,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,2:35:00,it,is,,,,twenty,five,,,to,,,three,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,2:40:00,it,is,,,,twenty,,,,to,,,three,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,2:45:00,it,is,,,quarter,,,,,to,,,three,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,2:50:00,it,is,,ten,,,,,,to,,,three,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,2:55:00,it,is,five,,,,,,,to,,,three,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,3:00:00,it,is,,,,,,,,,,,three,,,,,,,,,,o'clock,am,
,,,,,,,,,,,,,,,,,,,,3:05:00,it,is,five,,,,,,past,,,,three,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,3:10:00,it,is,,ten,,,,,past,,,,three,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,3:15:00,it,is,,,quarter,,,,past,,,,three,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,3:20:00,it,is,,,,twenty,,,past,,,,three,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,3:25:00,it,is,,,,twenty,five,,past,,,,three,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,3:30:00,it,is,,,,,,half,past,,,,three,,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,3:35:00,it,is,,,,twenty,five,,,to,,,,four,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,3:40:00,it,is,,,,twenty,,,,to,,,,four,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,3:45:00,it,is,,,quarter,,,,,to,,,,four,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,3:50:00,it,is,,ten,,,,,,to,,,,four,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,3:55:00,it,is,five,,,,,,,to,,,,four,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,4:00:00,it,is,,,,,,,,,,,,four,,,,,,,,,o'clock,am,
,,,,,,,,,,,,,,,,,,,,4:05:00,it,is,five,,,,,,past,,,,,four,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,4:10:00,it,is,,ten,,,,,past,,,,,four,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,4:15:00,it,is,,,quarter,,,,past,,,,,four,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,4:20:00,it,is,,,,twenty,,,past,,,,,four,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,4:25:00,it,is,,,,twenty,five,,past,,,,,four,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,4:30:00,it,is,,,,,,half,past,,,,,four,,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,4:35:00,it,is,,,,twenty,five,,,to,,,,,five,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,4:40:00,it,is,,,,twenty,,,,to,,,,,five,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,4:45:00,it,is,,,quarter,,,,,to,,,,,five,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,4:50:00,it,is,,ten,,,,,,to,,,,,five,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,4:55:00,it,is,five,,,,,,,to,,,,,five,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,5:00:00,it,is,,,,,,,,,,,,,five,,,,,,,,o'clock,am,
,,,,,,,,,,,,,,,,,,,,5:05:00,it,is,five,,,,,,past,,,,,,five,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,5:10:00,it,is,,ten,,,,,past,,,,,,five,,,,,,,,,am,
,,,,,,,,,,,,,,,,,,,,5:15:00,it,is,,,quarter,,,,past,,,,,,five,,,,,,,,,am,
